DateKey,FullDateKey,DayNumberInWeek,DayName,DayNumber,MonthNumber,YearNumber,WeekNumber,DayWeekType
1,01.01.2014,3,Wednesday,1,1,2014,1,workday
2,02.01.2014,4,Thursday,2,1,2014,1,workday
3,03.01.2014,5,Friday,3,1,2014,1,workday
4,04.01.2014,6,Saturday,4,1,2014,1,weekend
5,05.01.2014,7,Sunday,5,1,2014,1,weekend
6,06.01.2014,1,Monday,6,1,2014,2,workday
7,07.01.2014,2,Tuesday,7,1,2014,2,workday
8,08.01.2014,3,Wednesday,8,1,2014,2,workday
9,09.01.2014,4,Thursday,9,1,2014,2,workday
10,10.01.2014,5,Friday,10,1,2014,2,workday
11,11.01.2014,6,Saturday,11,1,2014,2,weekend
12,12.01.2014,7,Sunday,12,1,2014,2,weekend
13,13.01.2014,1,Monday,13,1,2014,3,workday
14,14.01.2014,2,Tuesday,14,1,2014,3,workday
15,15.01.2014,3,Wednesday,15,1,2014,3,workday
16,16.01.2014,4,Thursday,16,1,2014,3,workday
17,17.01.2014,5,Friday,17,1,2014,3,workday
18,18.01.2014,6,Saturday,18,1,2014,3,weekend
19,19.01.2014,7,Sunday,19,1,2014,3,weekend
20,20.01.2014,1,Monday,20,1,2014,4,workday
21,21.01.2014,2,Tuesday,21,1,2014,4,workday
22,22.01.2014,3,Wednesday,22,1,2014,4,workday
23,23.01.2014,4,Thursday,23,1,2014,4,workday
24,24.01.2014,5,Friday,24,1,2014,4,workday
25,25.01.2014,6,Saturday,25,1,2014,4,weekend
26,26.01.2014,7,Sunday,26,1,2014,4,weekend
27,27.01.2014,1,Monday,27,1,2014,5,workday
28,28.01.2014,2,Tuesday,28,1,2014,5,workday
29,29.01.2014,3,Wednesday,29,1,2014,5,workday
30,30.01.2014,4,Thursday,30,1,2014,5,workday
31,31.01.2014,5,Friday,31,1,2014,5,workday
32,01.02.2014,6,Saturday,1,2,2014,5,weekend
33,02.02.2014,7,Sunday,2,2,2014,5,weekend
34,03.02.2014,1,Monday,3,2,2014,6,workday
35,04.02.2014,2,Tuesday,4,2,2014,6,workday
36,05.02.2014,3,Wednesday,5,2,2014,6,workday
37,06.02.2014,4,Thursday,6,2,2014,6,workday
38,07.02.2014,5,Friday,7,2,2014,6,workday
39,08.02.2014,6,Saturday,8,2,2014,6,weekend
40,09.02.2014,7,Sunday,9,2,2014,6,weekend
41,10.02.2014,1,Monday,10,2,2014,7,workday
42,11.02.2014,2,Tuesday,11,2,2014,7,workday
43,12.02.2014,3,Wednesday,12,2,2014,7,workday
44,13.02.2014,4,Thursday,13,2,2014,7,workday
45,14.02.2014,5,Friday,14,2,2014,7,workday
46,15.02.2014,6,Saturday,15,2,2014,7,weekend
47,16.02.2014,7,Sunday,16,2,2014,7,weekend
48,17.02.2014,1,Monday,17,2,2014,8,workday
49,18.02.2014,2,Tuesday,18,2,2014,8,workday
50,19.02.2014,3,Wednesday,19,2,2014,8,workday
51,20.02.2014,4,Thursday,20,2,2014,8,workday
