study language;field of study;university;bc;ing;phd;capacity
SK;Business and administration;Matej Bell University in Banska Bystrica;True;True;False;2
SK;Business and administration;Technická univerzita vo Zvolene;True;True;False;2
SK;Information and Communication Technologies (ICTs);Univerzita Konštantína Filozofa v Nitre;True;True;False;2
EN;Travel, tourism and leisure;Adnan Menderes Üniversitesi;True;True;False;2
EN;Business and administration;Adnan Menderes Üniversitesi;True;True;True;2
EN;Information and Communication Technologies (ICTs);Akdeniz University;True;True;True;3
EN;Business and administration;Akdeniz University;True;True;True;3
EN;Business, administration and law;Aleksandras Stulginskis University;True;True;False;1
EN;Information and Communication Technologies (ICTs);Alexandru Ioan Cuza University of Iasi;False;True;False;2
EN;Business and administration;Alexandru Ioan Cuza University of Iasi;True;True;False;2
EN;Economics;Anadolu University;True;True;True;1
EN;Business and administration;Anadolu University;True;True;True;2
EN;Business and administration;Athens University of Economics and Business;True;True;False;2
EN;Business and administration;Athlon Institute of Technology;True;False;False;2
EN;Business and administration;Baden-Württemberg Cooperative State University Mosbach;True;False;False;4
EN;Business and administration;Baltic International Academy;True;True;False;3
EN;Business and administration;Business School Libertas;True;True;False;3
EN;Business and administration;Carinthia University of Applied Sciences;True;True;False;1
EN;Economics;Corvinus University of Budapest;True;True;True;1
EN;Business and administration;Corvinus University of Budapest;True;True;True;1
EN;Information and Communication Technologies (ICTs);Daugavpils University;True;True;True;1
EN;Business and administration;Daugavpils University;True;True;True;2
EN;Business and administration;Deggendorf Institute of Technology;True;False;False;3
EN;Management and administration;Deggendorf Institute of Technology;False;True;False;5
EN;Business and administration;Duale Hochschule Baden-Württenberg Heilbronn (DHBW);True;False;False;2
EN;Business and administration;FHS Kufstein Tirol Bildungs - GMBH;True;False;False;3
EN;Business and administration;Fontys University of Applied Sciences (School of Economics Tilburg);True;True;False;3
EN;Business and administration;GEBZE Technical University;True;True;True;2
EN;Economics;GEBZE Technical University;True;True;True;1
EN;Business and administration;Haute Ecole Libre Mosane;True;False;False;5
EN;Business and administration;Hedmark University College;True;True;True;2
EN;Business and administration;Hitit University;True;False;False;3
EN;Business and administration;INSEEC Alpes-Savoie;False;True;False;5
EN;Business and administration;INSEEC Bachelor Alpes-Savoie / CEFAS;True;False;False;5
EN;Business and administration;Instituto Politecnico de Santarém;True;True;False;3
EN;Business and administration;International Business Academy;True;False;False;2
EN;Travel, tourism and leisure;ISCET - Instituto Superior de Ciencias Empresariais e do Turismo;True;True;False;1
EN;Business and administration;ISCET - Instituto Superior de Ciencias Empresariais e do Turismo;True;True;False;2
EN;Business and administration;Katowice School of Economics (Górnośląska Wyższa Szkoła Handlowa im. Wojciecha Korfantego w Katowicach);True;True;False;2
EN;Business, administration and law;Kaunas University of Technology;True;True;True;1
EN;Economics;Kaunas University of Technology;True;True;True;1
EN;Business and administration;Klaipeda University;True;True;True;3
EN;Information and Communication Technologies (ICTs);Klaipeda University;True;True;False;5
EN;Economics;Klaipeda University;True;True;True;2
EN;Business and administration;Kymenlaakso Polytechnic;True;False;False;2
EN;Information and Communication Technologies (ICTs);Lapland University of Applied Sciences;True;False;False;1
EN;Business and administration;Lapland University of Applied Sciences;True;True;False;2
EN;Business and administration;New College Durham;True;False;False;1
EN;Business and administration;OKAN UNIVERSITY;True;True;True;3
EN;Information and Communication Technologies (ICTs);Oulu University of Applied Sciences;True;True;False;1
EN;Business and administration;Oulu University of Applied Sciences;True;True;False;2
EN;Business and administration;Politechnika Opolska (Opole University of Technology);True;True;False;2
EN;Economics;Poznan University of Economics and Business;True;True;False;2
EN;Business and administration;Poznan University of Economics and Business;True;True;False;2
EN;Business and administration;Poznan University of Life Science;True;True;False;1
EN;Business and administration;Recep Tayyip Erdogan University;True;True;False;1
EN;Business and administration;Seinäjoki University of Applied Sciences;True;True;False;3
EN;Business and administration;Siauliai University;True;False;False;1
EN;Economics;Szent István University;True;True;True;2
EN;Information and Communication Technologies (ICTs);Šiauliai State College;True;False;False;2
EN;Business and administration;Šiauliai State College;True;False;False;2
